#interpro;categorie_libelle;categorie_code;genre_libelle;genre_code;denomination_libelle;denomination_code;mention_libelle;mention_code;lieu_libelle;lieu_code;couleur_libelle;couleur_code;cepage_libelle;cepage_code;format_libelle_noeud;format_libelle_noeud;departements;douane_code;douane_libelle;douane_taxe;douane_date;douane_noeud;cvo_taxe;cvo_date;cvo_noeud;repli_entree;repli_sorti;declassement_entree;declassement_sorti;densite;labels;code_produit;code_produit_noeud;code_analytique;code_comptable_noeud;code_douane;code_douane_noeud;alias_produit
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Cabernet d'Anjou;CAJ;;;;;Rosé;2;;;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;A;;;;;;;83;cepage;9080;cepage;1S201D;cepage;1S201D03
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Cabernet de Saumur;CAS;;;;;Rosé;2;;;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;103;cepage;9100;cepage;1S207;cepage;1S20701
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Chinon;CHI;;;;;Blanc;3;Chenin;CHE;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;A;;;;;;;581;cepage;9580;cepage;0631B;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Chinon;CHI;;;;;Rouge;1;Cabernet Franc;CBF;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;A;;;;;;;582;cepage;9580;cepage;0631R;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Chinon;CHI;;;;;Rosé;2;Cabernet Franc;CBF;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;A;;;;;;;583;cepage;9580;cepage;0631S;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Coteaux d'Ancenis;COA;;;;;Blanc;3;;;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;3,8;;A;;;;;;;3010;cepage;9980;cepage;;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Coteaux d'Ancenis;COA;;;;;Rouge;1;;;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;3,8;;A;;;;;;;3020;cepage;9980;cepage;;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Coteaux d'Ancenis;COA;;;;;Rosé;2;;;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;3,8;;A;;;;;;;3030;cepage;9980;cepage;;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Coteaux de l'Aubance;COB;;;;;Blanc;3;Chenin;CHE;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;5,5;;A;;;;;;;191;cepage;9190;cepage;1B211L;cepage;1B211L01
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Coteaux de Saumur;COS;;;;;Blanc;3;Chenin;CHE;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;5;;A;;;;;;;231;cepage;9230;cepage;1B213L;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Coteaux du Layon;COL;;;;;Blanc;3;Chenin;CHE;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;5;;A;;;;;;;201;cepage;9200;cepage;1B212L;cepage;1B212L10
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Coteaux du Layon Chaume;COL;;;Chaume;CHA;Blanc;3;Chenin;CHE;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;5;;A;;;;;;;211;cepage;9210;cepage;1B212L02;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Coteaux du Layon;COL;Villages;VIL;;;Blanc;3;Chenin;CHE;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;5;;A;;;;;;;221;cepage;9220;cepage;1B212L01;cepage;1B212L11|1B212L03|1B212L13|1B212L04|1B212L14|1B212L05|1B212L15|1B212L06|1B212L16|1B212L07|1B212L17
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Coteaux du loir;CDL;;;;;Blanc;3;Chenin;CHE;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;611;cepage;9630;cepage;1B223;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Coteaux du loir;CDL;;;;;Rouge;1;;;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;612;cepage;9630;cepage;1R223S;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Coteaux du loir;CDL;;;;;Rosé;2;;;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;613;cepage;9630;cepage;1S223S;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;EFF;EFF;Crémant de Loire;CLO;;;;;Blanc;3;;;%a% %g% %l% %co% %m%;G;;L385;Vins Mousseux;9,29;2015-08-01;G;4;;G;;;;;1.5;;404;cepage;9400;cepage;1B215M;cepage;1S215M
inter-loire;AOC;AOC_INTERLOIRE;EFF;EFF;Crémant de Loire;CLO;;;;;Rosé;2;;;%a% %g% %l% %co% %m%;G;;L385;Vins Mousseux;9,29;2015-08-01;G;4;;G;;;;;1.5;;404;cepage;9400;cepage;1B215M;cepage;1S215M
inter-loire;AOC;AOC_HORSINTERLOIRE/AOC;;TRANQ;Fiefs vendéens;FVD;;;;;Blanc;3;;;%g% %a% %l% %co% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;0;2015-08-01;A;;;;;;;4010;cepage;9990;cepage;;cepage;
inter-loire;AOC;AOC_HORSINTERLOIRE/AOC;;TRANQ;Fiefs vendéens;FVD;;;;;Rouge;1;;;%g% %a% %l% %co% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;0;2015-08-01;A;;;;;;;4020;cepage;9990;cepage;;cepage;
inter-loire;AOC;AOC_HORSINTERLOIRE/AOC;;TRANQ;Fiefs vendéens;FVD;;;;;Rosé;2;;;%g% %a% %l% %co% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;0;2015-08-01;A;;;;;;;4030;cepage;9990;cepage;;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Gros plant;GPL;;;;;Blanc;3;Folle blanche;FBL;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;2000;cepage;9960;cepage;2058B;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Gros plant;GPL;Sur lie;LIE;;;Blanc;3;Folle blanche;FBL;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;2001;cepage;9970;cepage;2058BSL;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Jasnières;JAS;;;;;Blanc;3;Chenin;CHE;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;621;cepage;9620;cepage;1B224;cepage;
inter-loire;AOC;AOC_HORSINTERLOIRE/AOC;;TRANQ;Montlouis sur Loire;MLL;;;;;Blanc;3;Chenin;CHE;%g% %a% %l% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;0;2015-08-01;A;;;;;;;561;cepage;9560;cepage;1B225;cepage;
inter-loire;AOC;AOC_HORSINTERLOIRE/AOC;EFF;EFF;Montlouis sur Loire;MLL;;;;;Blanc;3;Chenin;CHE;%a% %g% %l% %co% %m%;G;;L385;Vins Mousseux;9,29;2015-08-01;G;0;2015-08-01;A;;;;;;;564;cepage;9560;cepage;1B225M;cepage;1B225P
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet AC;MUSAC;;;;;Blanc;3;Melon;MEL;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;2013-08-01;A;;;;;;;1040;cepage;9940;cepage;1B228;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet AC;MUSAC;Sur lie;LIE;;;Blanc;3;Melon;MEL;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;2013-08-01;A;;;;;;;1041;cepage;9950;cepage;1B22801;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet Coteaux de la Loire;MUSCDL;;;;;Blanc;3;Melon;MEL;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;2013-08-01;A;;;;;;;1060;cepage;9940;cepage;1B229;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet Coteaux de la Loire;MUSCDL;Sur lie;LIE;;;Blanc;3;Melon;MEL;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;2013-08-01;A;;;;;;;1061;cepage;9950;cepage;1B22901;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet Côtes de Grand Lieu;MUSCGL;;;;;Blanc;3;Melon;MEL;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;2013-08-01;A;;;;;;;1070;cepage;9940;cepage;1B227;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet Côtes de Grand Lieu;MUSCGL;Sur lie;LIE;;;Blanc;3;Melon;MEL;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;2013-08-01;A;;;;;;;1071;cepage;9950;cepage;1B22701;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet AC;MUSAC;Primeur;PRI;;;Blanc;3;Melon;MEL;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;2013-08-01;A;;;;;;;1080;cepage;9940;cepage;1B22802;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet Sèvre et Maine;MUSSM;;;;;Blanc;3;Melon;MEL;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;2013-08-01;A;;;;;;;1050;cepage;9940;cepage;1B230;cepage;1230BC1|1230BC2|1230BC3
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet Sèvre et Maine;MUSSM;Sur lie;LIE;;;Blanc;3;Melon;MEL;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;2013-08-01;A;;;;;;;1051;cepage;9950;cepage;1B23001;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet Sèvre et Maine;MUSSM;;;Gorges;GORGES;Blanc;3;Melon;MEL;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;2013-08-01;A;;;;;;;1250;cepage;9940;cepage;1B702;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet Sèvre et Maine;MUSSM;;;Clisson;CLISSON;Blanc;3;Melon;MEL;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;2013-08-01;A;;;;;;;1150;cepage;9940;cepage;1B701;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Muscadet Sèvre et Maine;MUSSM;;;Le Pallet;LEPALLET;Blanc;3;Melon;MEL;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;2013-08-01;A;;;;;;;1350;cepage;9940;cepage;1B703;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Quarts de Chaume;QDC;;;;;Blanc;3;Chenin;CHE;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;6;;A;;;;;;;111;cepage;9110;cepage;1B214L;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Rosé d'Anjou;RAJ;;;;;Rosé;2;;;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;A;;;;;;;123;cepage;9120;cepage;1S200D;cepage;1S200D03
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Rosé de Loire;RLO;;;;;Rosé;2;;;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;A;;;;;;;413;cepage;9410;cepage;1S209S;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Saumur;SAU;;;;;Blanc;3;Chenin;CHE;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,2;;CO;;;;;;;151;cepage;9150;cepage;1B206;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Saumur Puy-Notre-Dame;SAU;;;Puy-Notre-Dame;PND;Rouge;1;;;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;L;;;;;;;152;cepage;9240;cepage;1R189S;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Saumur Champigny;SAUCHA;;;;;Rouge;1;;;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;L;;;;;;;162;cepage;9160;cepage;1R208;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;EFF;EFF;Saumur fines bulles;SAU;;;;;Blanc;3;;;%a% %g% %l% %co% %m%;G;;L385;Vins Mousseux;9,29;2015-08-01;G;3,8;;A;;;;;;;174;cepage;9170;cepage;1B205M;cepage;1S205M
inter-loire;AOC;AOC_INTERLOIRE;EFF;EFF;Saumur fines bulles;SAU;;;;;Rosé;2;;;%a% %g% %l% %co% %m%;G;;L385;Vins Mousseux;9,29;2015-08-01;G;3,8;;A;;;;;;;174;cepage;9170;cepage;1B205M;cepage;1S205M
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Saumur;SAU;;;;;Rouge;1;;;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;CO;;;;;;;182;cepage;9180;cepage;1R206S;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Savennières;SAV;;;;;Blanc;3;Chenin;CHE;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;5,5;2013-08-01;L;;;;;;;141;cepage;9140;cepage;1B216S;cepage;1B216L|1B216S01|1B216L01
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Savennières Roche aux moines;SAVRAM;;;;;Blanc;3;Chenin;CHE;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;G;;;;;;;651;cepage;9250;cepage;1B216S02;cepage;1B216L02
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Savennières Coulée de Serrant;SAV;;;Coulée de Serrant;CDS;Blanc;3;Chenin;CHE;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;2013-08-01;L;;;;;;;651;cepage;9250;cepage;1B216S02;cepage;1B216L02
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;St Nicolas de Bourgueil;STN;;;;;Rouge;1;Cabernet Franc;CBF;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;3,79;;A;;;;;;;602;cepage;9600;cepage;1R221S;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;St Nicolas de Bourgueil;STN;;;;;Rosé;2;Cabernet Franc;CBF;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;3,79;;A;;;;;;;603;cepage;9600;cepage;1S221S;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;;;Blanc;3;;;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;511;cepage;9500;cepage;1B235S;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;;;Rouge;1;;;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;512;cepage;9500;cepage;1R235S;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;;;Rosé;2;;;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;513;cepage;9500;cepage;1S235S;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;EFF;EFF;Touraine;TOU;;;;;Blanc;3;;;%a% %g% %l% %co% %m%;G;;L385;Vins Mousseux;9,29;2015-08-01;G;4;;G;;;;;;;514;cepage;9500;cepage;1B235M;cepage;1B235P|1S235P|1S235M|1R234M
inter-loire;AOC;AOC_INTERLOIRE;EFF;EFF;Touraine;TOU;;;;;Rosé;2;;;%a% %g% %l% %co% %m%;G;;L385;Vins Mousseux;9,29;2015-08-01;G;4;;G;;;;;;;514;cepage;9500;cepage;1B235M;cepage;1B235P|1S235P|1S235M|1R234M
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;Primeur;PRI;;;Rouge;1;;;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;522;cepage;9500;cepage;1R235S01;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;Primeur;PRI;;;Rosé;2;;;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;523;cepage;9500;cepage;1S235S01;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;Amboise;AMB;Blanc;3;Chenin;CHE;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;531;cepage;9530;cepage;1B236;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;Amboise;AMB;Rouge;1;;;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;532;cepage;9530;cepage;1R236S;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;Amboise;AMB;Rosé;2;;;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;533;cepage;9530;cepage;1S236;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;Azay-le-rideau;ALR;Blanc;3;Chenin;CHE;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;L;;;;;;;541;cepage;9540;cepage;1B237;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;Azay-le-rideau;ALR;Rosé;2;;;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;L;;;;;;;543;cepage;9540;cepage;1S237S;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;Mesland;MES;Blanc;3;Chenin;CHE;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;3,8;;L;;;;;;;551;cepage;9550;cepage;1B238;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;Mesland;MES;Rouge;1;;;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;3,8;;L;;;;;;;552;cepage;9550;cepage;1R238S;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;Mesland;MES;Rosé;2;;;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;3,8;;L;;;;;;;553;cepage;9550;cepage;1S238;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine Noble Joué;TOUNJO;;;;;Rosé;2;;;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;3,74;;L;;;;;;;493;cepage;9610;cepage;1S239;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;Chenonceaux;CHE;Blanc;3;Sauvignon;SAUB;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;631;cepage;9650;cepage;1B705S;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;Chenonceaux;CHE;Rouge;1;;;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;632;cepage;9650;cepage;1R705S;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Touraine;TOU;;;Oisly;OIS;Blanc;3;Sauvignon Blanc;SAUB;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;641;cepage;9640;cepage;1B704S;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Vouvray;VOU;;;;;Blanc;3;;;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;571;cepage;9570;cepage;1B226;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;EFF;EFF;Vouvray;VOU;;;;;Blanc;3;;;%a% %g% %l% %co% %m%;G;;L385;Vins Mousseux;9,29;2015-08-01;G;4;;G;;;;;;;574;cepage;9570;cepage;1B226M;cepage;1B226P
inter-loire;IGP;IGP_VALDELOIRE;;TRANQ;IGP Val de Loire;VAL;;;;;Blanc;3;;;%c% %g% %a% %l% %co %ce% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;0;;C;;;;;;;;;;;3B009;;
inter-loire;IGP;IGP_VALDELOIRE;;TRANQ;IGP Val de Loire;VAL;;;;;Rosé;2;;;%c% %g% %a% %l% %co %ce% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;0;;C;;;;;;;;;;;3S009;;
inter-loire;IGP;IGP_VALDELOIRE;;TRANQ;IGP Val de Loire;VAL;;;;;Rouge;1;;;%c% %g% %a% %l% %co %ce% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;0;;C;;;;;;;;;;;3R009;;
inter-loire;AOC;AOC_HORSINTERLOIRE;;TRANQ;Cheverny;CHY;;;;CHY;Blanc;3;;;%g% %a% %l% %co% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;0;;A;;;;;;;;;;;1B231S  ;;
inter-loire;AOC;AOC_HORSINTERLOIRE;;TRANQ;Cheverny;CHY;;;;CHY;Rosé;2;;;%g% %a% %l% %co% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;0;;A;;;;;;;;;;;1S231S  ;;
inter-loire;AOC;AOC_HORSINTERLOIRE;;TRANQ;Cheverny;CHY;;;;CHY;Rouge;1;;;%g% %a% %l% %co% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;0;;A;;;;;;;;;;;1R231S  ;;
