details;sorties;ventefrancecrd;02. Vente sous CRD;Ventes en France de Bouteilles sous CRD;Inscrire les sorties de vins conditionnés (Bouteilles, BIB, cubi...) avec Capsules Représentatives de Droits (C.R.D.).;
details;sorties;vracsanscontratacquitte;03. Vente sous DSA;Sortie de vrac sans contrat (acquitté);Inscrire les ventes en France sous DSA/DSAC à un débitant, un particulier ou un Entrepositaire Agréé ne travaillant qu'en droits acquittés (n° d'accise sous la forme FR 000 000 A 0000).;
details;sorties;vrac;04. Vrac sous contrat;Contrat de vin en vrac ou conditionné;Indiquer les volumes sortis en vrac sous contrat interprofessionnel et sous DAA/DAC/DCA ou DAE.;
details;sorties;vracsanscontratsuspendu;05. Vrac hors contrat;Contrats hors interpro;Indiquer les volumes sortis en vrac sans contrat interprofessionnel et sous DAA/DAC/DCA ou DAE. Ex: VSIG sous contrat FranceAgrimer. ;
details;sorties;export;06. Export;Export;Indiquer les volumes commercialisés à l'export  à l'exception des volumes commercialisés à l'export en vrac sous contrat interprofessionnel.;
details;sorties;repli;07. Repli;Repli;"Toute sortie dans cette rubrique pour une colonne doit trouver son équivalent en entrée dans une autre colonne. Tout repli doit être autorisé par le cahier des charges (AOC vers une autre AOC; IGP de zone ou de département vers une IGP régionale).";
details;sorties;declassement;08. Déclassement;Déclassement;Toute sorties dans cette rubrique pour une colonne doit trouver son équivalent en entrée dans une autre colonne. Tout déclassement (AOC ou IGP vers les VSIG) doit être déclaré à l'ODG.;
details;sorties;transfertsrecolte;09. Transfert de produit;Transfert de récolte;(Concerne que les IGP. Ex : volume récolté en Côtes de Gascogne et finalement revendiqué en Comté Tolosan). Indiquer les volumes (récoltés mais non encore revendiqués) transférés  vers une autre IGP. Toute sorties dans cette rubrique pour une colonne doit trouver son équivalent en entrée et devra être revendiquée dans une autre colonne.;
details;sorties;embouteillage;10. Conditionnement;Conditionnement;"Indiquer les vins sortis du chai pour conditionnement extérieur par un prestataire. Une fois conditionné, le vin devra revenir au chai: il sera alors noté en entrée sur la ligne ""retour conditionnement"".";
details;sorties;transfertcomptamatiere;11. Logement externe;Transferts internes d'un chai à un autre;"Indiquer les vins sortis pour être logés temporairement  dans un chai extérieur. Ces vins devront réintégrer le chai: ils seront alors notés en entrée sur la ligne ""retour logement externe"".";
details;sorties;travailafacon;12. Travail à façon;Sortie de travail à façon, distillation à façon;"Indiquer les vins sortis du chai pour être travaillés par un prestataire. Une fois préparés, ces vins devront réintégrer le chai: ils seront alors notés en entrée sur la ligne ""retour travail à façon"".";
details;sorties;distillationusageindustriel;13. Usages industriel;Distillation et usages industriels;Indiquer les sorties vers la distillerie.;
details;sorties;destructionperte;14. Destruction/perte;Destruction et pertes;Indiquer les pertes et destructions régulières (mise en bouteilles...) ou résultant d'évènements exceptionnels (vol, casse, fuite...) dûment validées par le service des douanes.;
details;sorties;manquant;15. Manquant;Manquant;Indiquer les volumes constatés manquants à l'occasion d'un inventaire ou d'un contrôle des douanes. (soumis à CVO).;
details;sorties;cession;16. Cession d'exploitation;Cession d'activité;Indiquer les volumes vendus à votre repreneur lors de la vente de l'exploitation.;
details;sorties;apportgroupement;17. Apport à groupement;Apport à un groupement;Indiquer les sorties à destination d'un groupement ou d'une union de coopératives.;
details;stocks_fin;final;Final récolté;Final récolté;Stock final récolté;Stock final récolté
details;stocks_fin;instance;En instance de revendication;En instance de revendication;En instance de revendication;
details;stocks_fin;dont_revendique;dont revendiqué;Stock revendiqué en fin de mois;Stock revendiqué en fin de mois;
detailsACQUITTE;stocks_debut;initial;Initial;Stock début de mois;A remplir uniquement sur la 1ère DRM de campagne. En août, indiquer le stock réel constaté par inventaire et identique à la Déclaration de Stocks. Pour tous les mois suivants de la campagne, le stock est automatiquement repris du mois précédent.;
detailsACQUITTE;stocks_debut;instance;En instance;En instance de revendication;Stock début En instance de revendication;
detailsACQUITTE;entrees;recolte;Récolte;Entrées récolte;Le mois de dépôt de la Déclaration de Récolte, indiquer le volume inscrit sur  la déclaration de récolte  (ligne 14 pour les VSIG).;
detailsACQUITTE;entrees;reintegration;Réintégration;Quantités réintégrées;Indiquer les vins sortis sur un mois antérieur et revenus sur l'exploitation.;
detailsACQUITTE;sorties;ventefrancecrd;CRD;Sorties sous CRD;Inscrire les sorties de vins conditionnés (Bouteilles, BIB, cubi...) avec Capsules Représentatives de Droits (C.R.D.).;
detailsACQUITTE;sorties;ventefrancedsa;DSA / DSAC;Sorties sous DSA / DSAC;Inscrire les ventes en France sous DSA/DSAC à un débitant, un particulier ou un Entrepositaire Agréé ne travaillant qu'en droits acquittés (n° d'accise sous la forme FR 000 000 A 0000).;
detailsACQUITTE;sorties;export;Export;Sorties sous document commercial;Indiquer les volumes commercialisés à l'export.;
detailsACQUITTE;sorties;consommationfamilialedegustation;Dégustation;Dégustation à la propriété;Indiquer les volumes dégustés sur l'exploitation et/ou de consommation familiale.;
detailsACQUITTE;sorties;destructionperte;Pertes et manquants;Pertes et manquants;Indiquer toute perte (lors d'une mise en bouteilles...), destruction exceptionnelle (vol, casse, fuite... dûment validée par les douanes) ou manquant constaté (lors d'un inventaire ou contrôle douanier).;
detailsACQUITTE;stocks_fin;final;Final;Stock fin de mois;Calcul automatique: cette case ne peut être modifiée.;
detailsACQUITTE;stocks_fin;instance;En instance;En instance de revendication;Stock fin En instance de revendication;
